Location,BranchA,MethodA,BranchB,MethodB,MedianCoherence,MedianPhaseRmseDeg,MedianComplexNmseDb,MedianMagnitudeNrmse,MedianMagnitudeCorrelation,FrequencyCount
Location1,Branch1,ComplexDFT,Branch2,OnOff,0.853226907101641,33.4978049424153,-5.65424956813186,0.347267817818583,0.529107167159015,51
Location1,Branch2,OnOff,Branch3,Hadamard,0.864656999169273,31.4093044321618,-5.97965242870938,0.334215585765144,0.598541212617848,51
Location1,Branch2,OnOff,Branch4,PowerREV,0.727317276451692,42.7510441058552,-3.26970260116645,0.493674681773945,0.327694092515832,51
Location2,Branch1,ComplexDFT,Branch2,OnOff,0.487695201681884,72.078415101627,-1.17957614174939,0.651033794769983,0.137328586394984,51
Location2,Branch2,OnOff,Branch3,Hadamard,0.544731737205591,72.9370391211551,-1.52879554325712,0.620343897722669,0.163244503097222,51
Location2,Branch2,OnOff,Branch4,PowerREV,0.414151040379368,79.9729726759294,-0.817185396149268,0.731990688538121,0.0624706341344675,51
Location3,Branch1,ComplexDFT,Branch2,OnOff,0.91133371064791,24.9681983219173,-7.7090494657676,0.28438647951735,0.579055307521255,51
Location3,Branch2,OnOff,Branch3,Hadamard,0.922054331503157,22.2508592928357,-8.24442354008973,0.261499217418639,0.610587870769429,51
Location3,Branch2,OnOff,Branch4,PowerREV,0.898897107996933,26.241305901056,-7.1673498836382,0.297018589530304,0.534625140575235,51
Location4,Branch1,ComplexDFT,Branch2,OnOff,0.784825524567939,47.0566656732754,-4.15613479004005,0.42040514219024,0.444916296509489,51
Location4,Branch2,OnOff,Branch3,Hadamard,0.790314381043961,43.3821095332342,-4.25502053860918,0.404824726567209,0.457334435658468,51
Location4,Branch2,OnOff,Branch4,PowerREV,0.746828287187086,49.0774365637971,-3.54334604166208,0.460460255865657,0.37383110239356,51
