Branch,Method,Estimator,StateRole,StateCount,UniquePhaseCount,StationCount,Stations,EstimatedX_M,EstimatedY_M,EstimatedZ_M,ErrorM,RmsRayDistanceM,GeometryConditionNumber,MinimumForwardRangeM,AllRaysForward
Branch1,ComplexDFT,ComplexHarmonicLS,EightUniquePhasesPlusClosureRepeat,9,8,2,L3-L4,-0.256720006313231,2.4879612507925,1.78651260604673,0.714454540619968,0.00987507758928436,18.573767458728,2.50301288711324,1
Branch1,ComplexDFT,ComplexHarmonicLS,EightUniquePhasesPlusClosureRepeat,9,8,3,L1-L2-L3,-0.031845600062274,1.72320146639148,1.48706873714681,1.36723062841523,0.223998188426045,8.9676556361979,1.70719974594857,1
Branch1,ComplexDFT,ComplexHarmonicLS,EightUniquePhasesPlusClosureRepeat,9,8,3,L1-L2-L4,-0.295837967013938,1.96540037706426,1.43974085058051,1.16442070563989,0.270103877307987,5.10769828909617,2.15308097416389,1
Branch1,ComplexDFT,ComplexHarmonicLS,EightUniquePhasesPlusClosureRepeat,9,8,3,L1-L3-L4,-0.263170155526587,2.43495786339817,1.771424736089,0.756313505660686,0.329224232463261,15.9482275975298,2.45035671827372,1
Branch1,ComplexDFT,ComplexHarmonicLS,EightUniquePhasesPlusClosureRepeat,9,8,3,L2-L3-L4,-0.333296135777813,2.04801555734116,1.71189454236773,1.1143236468606,0.220220721572472,6.18260068683077,2.07046178346504,1
Branch1,ComplexDFT,ComplexHarmonicLS,EightUniquePhasesPlusClosureRepeat,9,8,4,L1-L2-L3-L4,-0.265752816273193,1.95336927498152,1.56415391470779,1.16904648717897,0.268061941329215,4.34406683381375,1.9631978050028,1
Branch4,PowerREV,PowerREV,IncrementalPhaseSubset,3,3,2,L1-L2,0.395624307181377,1.34487406236648,1.44967245546527,1.79011619521553,0.0346826725826818,28.0613707327345,1.74002396526751,1
Branch4,PowerREV,PowerREV,IncrementalPhaseSubset,3,3,2,L1-L3,-0.0970818583363746,1.92779829522141,1.53357112685792,1.16673249306206,0.25439711762972,15.9845674096677,1.91978729373095,1
Branch4,PowerREV,PowerREV,IncrementalPhaseSubset,3,3,2,L1-L4,-0.273541562623605,2.3070864036812,1.49348270255941,0.829349842315857,0.26471176454215,4.81030720808505,2.4835758109811,1
Branch4,PowerREV,PowerREV,IncrementalPhaseSubset,3,3,2,L2-L3,-0.153638551823139,1.72557344354922,1.59426396007234,1.37628133996031,0.166712230788777,5.88221990554383,1.72701503616358,1
Branch4,PowerREV,PowerREV,IncrementalPhaseSubset,3,3,2,L2-L4,-0.450074830393895,1.95571334083675,1.57040437481289,1.22234624967831,0.172744295846879,2.69217728950209,2.094460182659,1
Branch4,PowerREV,PowerREV,IncrementalPhaseSubset,3,3,2,L3-L4,-0.258519293901379,2.50288776960944,1.77383711378272,0.697509685436909,0.0168829509605096,18.7741255253671,2.51754305627412,1
Branch4,PowerREV,PowerREV,IncrementalPhaseSubset,3,3,3,L1-L2-L3,-0.0143866890205289,1.70413987987851,1.48242830904287,1.38604618021451,0.222615636803558,9.32878646195774,1.68696486561585,1
Branch4,PowerREV,PowerREV,IncrementalPhaseSubset,3,3,3,L1-L2-L4,-0.316231223915606,1.91129802275703,1.43105598098068,1.2223313036547,0.276367527768757,8.5653400827636,2.09698341847992,1
Branch4,PowerREV,PowerREV,IncrementalPhaseSubset,3,3,3,L1-L3-L4,-0.267602666793974,2.42161664668056,1.74807813471836,0.761505256183517,0.306546867730405,14.4541997636427,2.43666606215149,1
Branch4,PowerREV,PowerREV,IncrementalPhaseSubset,3,3,3,L2-L3-L4,-0.340528421062598,2.01876825695081,1.69200342470856,1.14033432289281,0.208899864317286,5.52085117974197,2.04149549075484,1
Branch4,PowerREV,PowerREV,IncrementalPhaseSubset,3,3,4,L1-L2-L3-L4,-0.27406921951523,1.95959410908863,1.57103338413606,1.16532276943113,0.264022881116609,4.32400942462441,1.971029752317,1
Branch4,PowerREV,PowerREV,IncrementalPhaseSubset,4,4,2,L1-L2,0.35794186481436,1.395949466486,1.43757535302401,1.73257797089653,0.0421183629828187,29.7012195910017,1.80426824418847,1
Branch4,PowerREV,PowerREV,IncrementalPhaseSubset,4,4,2,L1-L3,-0.0878636281591003,1.88844447100859,1.53202628632037,1.20518935832448,0.260721840800912,15.6113989680393,1.87907486630504,1
Branch4,PowerREV,PowerREV,IncrementalPhaseSubset,4,4,2,L1-L4,-0.267881790844363,2.27516267036973,1.49144641733158,0.857784175303695,0.272754089009948,4.71792130188693,2.45539826276418,1
Branch4,PowerREV,PowerREV,IncrementalPhaseSubset,4,4,2,L2-L3,-0.155918969784374,1.75900638030127,1.59625507306796,1.34354746098107,0.170599553425681,5.98841423001645,1.76014149282824,1
Branch4,PowerREV,PowerREV,IncrementalPhaseSubset,4,4,2,L2-L4,-0.429317656464511,1.97700586949321,1.57358126422175,1.19519194573057,0.175584835389921,2.70231088510924,2.12149485437509,1
Branch4,PowerREV,PowerREV,IncrementalPhaseSubset,4,4,2,L3-L4,-0.255264279251847,2.47134906657882,1.77927711235183,0.725178967682079,0.0163989681186049,18.3582059330494,2.48604656790183,1
Branch4,PowerREV,PowerREV,IncrementalPhaseSubset,4,4,3,L1-L2-L3,-0.0354084204288991,1.7391638048015,1.48753112038961,1.35135770817884,0.222587245897067,9.09356774576425,1.72344835222991,1
Branch4,PowerREV,PowerREV,IncrementalPhaseSubset,4,4,3,L1-L2-L4,-0.297013754361641,1.96586939090421,1.43963335852231,1.16427270344596,0.263109254969895,5.58000047649954,2.15505540296534,1
Branch4,PowerREV,PowerREV,IncrementalPhaseSubset,4,4,3,L1-L3-L4,-0.263928571660292,2.39406643779627,1.75448419003265,0.786602833021082,0.316240641244907,14.3749446850009,2.40907557464491,1
Branch4,PowerREV,PowerREV,IncrementalPhaseSubset,4,4,3,L2-L3-L4,-0.327132337556791,2.05099914180671,1.70553755730385,1.10850531666032,0.21009824492023,6.01228842724874,2.07252498216704,1
Branch4,PowerREV,PowerREV,IncrementalPhaseSubset,4,4,4,L1-L2-L3-L4,-0.267647633562009,1.96657599791429,1.5620726784068,1.15653351080641,0.262038965239427,4.28097416611862,1.97642873846065,1
Branch4,PowerREV,PowerREV,IncrementalPhaseSubset,5,5,2,L1-L2,0.36255174403393,1.39104004122997,1.4393741647279,1.73827046241612,0.0476046517581655,29.6073989203587,1.79732453237165,1
Branch4,PowerREV,PowerREV,IncrementalPhaseSubset,5,5,2,L1-L3,-0.0846220876882139,1.87852434919135,1.52959987177512,1.21478817191972,0.26344223125484,15.5389728827665,1.86878062387096,1
Branch4,PowerREV,PowerREV,IncrementalPhaseSubset,5,5,2,L1-L4,-0.267840020113904,2.27415572227707,1.48483458987918,0.858819044695679,0.27329003604421,4.71726981011785,2.4549653925409,1
Branch4,PowerREV,PowerREV,IncrementalPhaseSubset,5,5,2,L2-L3,-0.157382192390689,1.76226148854783,1.60017700502163,1.34078116842757,0.166701255630402,5.99645379218278,1.76369316217381,1
Branch4,PowerREV,PowerREV,IncrementalPhaseSubset,5,5,2,L2-L4,-0.429661159639589,1.97959598645625,1.57529189732525,1.19301075234038,0.168545518701641,2.7046161271836,2.12425971395061,1
Branch4,PowerREV,PowerREV,IncrementalPhaseSubset,5,5,2,L3-L4,-0.255374108191604,2.47061788235553,1.77593470133348,0.724562007141145,0.019711573907462,18.3520883945444,2.48518910397115,1
