Branch,Method,Estimator,StateRole,StateCount,UniquePhaseCount,StationCount,Stations,EstimatedX_M,EstimatedY_M,EstimatedZ_M,ErrorM,RmsRayDistanceM,GeometryConditionNumber,MinimumForwardRangeM,AllRaysForward
Branch1,ComplexDFT,ComplexHarmonicLS,IncrementalPhaseSubset,3,3,2,L1-L2,0.355501710307015,1.39809062284141,1.43391550016971,1.73011732771688,0.038901872923911,29.7508815296889,1.80794363652721,1
Branch1,ComplexDFT,ComplexHarmonicLS,IncrementalPhaseSubset,3,3,2,L1-L3,-0.0904868255987653,1.89609244464352,1.52917756383056,1.19768712382463,0.258564629500354,15.671617996698,1.88742221365226,1
Branch1,ComplexDFT,ComplexHarmonicLS,IncrementalPhaseSubset,3,3,2,L1-L4,-0.272018880343022,2.27868192188094,1.49415017183619,0.855725140238046,0.27646445921986,4.73651768645516,2.45644548889651,1
Branch1,ComplexDFT,ComplexHarmonicLS,IncrementalPhaseSubset,3,3,2,L2-L3,-0.155291751789917,1.75737878474822,1.59010872898114,1.34466144979014,0.172315714335257,5.98510410749568,1.75863051317666,1
Branch1,ComplexDFT,ComplexHarmonicLS,IncrementalPhaseSubset,3,3,2,L2-L4,-0.433692521687782,1.97771730523368,1.57164455120168,1.19599119485112,0.182887826145287,2.7093273632238,2.12004223911043,1
Branch1,ComplexDFT,ComplexHarmonicLS,IncrementalPhaseSubset,3,3,2,L3-L4,-0.256723707537822,2.48817461557589,1.78005023710765,0.711708501180954,0.0100779790608133,18.5735581629026,2.50298371132323,1
Branch1,ComplexDFT,ComplexHarmonicLS,IncrementalPhaseSubset,3,3,3,L1-L2-L3,-0.038000451821352,1.74127950288811,1.48495677686235,1.34933958373374,0.221590783308264,9.04681863688017,1.72640054269091,1
Branch1,ComplexDFT,ComplexHarmonicLS,IncrementalPhaseSubset,3,3,3,L1-L2-L4,-0.293858583592017,1.98476901720295,1.43846675298809,1.14528369104474,0.26480653405486,5.0155881780068,2.17261982579053,1
Branch1,ComplexDFT,ComplexHarmonicLS,IncrementalPhaseSubset,3,3,3,L1-L3-L4,-0.263280633775058,2.43425819253926,1.76469811506942,0.754572131935825,0.325358382404219,15.8664599020708,2.44945264497478,1
Branch1,ComplexDFT,ComplexHarmonicLS,IncrementalPhaseSubset,3,3,3,L2-L3-L4,-0.332610970735345,2.06776998409473,1.71015211363151,1.09533016672371,0.218335156353879,6.36782607681443,2.0901141100225,1
Branch1,ComplexDFT,ComplexHarmonicLS,IncrementalPhaseSubset,3,3,4,L1-L2-L3-L4,-0.266155625417878,1.96716061835337,1.55968857383752,1.15549548669172,0.264100908497662,4.35731470998749,1.97728538528328,1
Branch1,ComplexDFT,ComplexHarmonicLS,IncrementalPhaseSubset,4,4,2,L1-L2,0.349312825918702,1.40321975706438,1.42309785684656,1.72428564278975,0.0291938646379385,29.8768365576202,1.81726500417064,1
Branch1,ComplexDFT,ComplexHarmonicLS,IncrementalPhaseSubset,4,4,2,L1-L3,-0.0904868255987653,1.89609244464352,1.52917756383056,1.19768712382463,0.258564629500354,15.671617996698,1.88742221365226,1
Branch1,ComplexDFT,ComplexHarmonicLS,IncrementalPhaseSubset,4,4,2,L1-L4,-0.272018880343022,2.27868192188094,1.49415017183619,0.855725140238046,0.27646445921986,4.73651768645516,2.45644548889651,1
Branch1,ComplexDFT,ComplexHarmonicLS,IncrementalPhaseSubset,4,4,2,L2-L3,-0.150676630794799,1.74704832918051,1.57843292420057,1.35365223038385,0.183963149430308,5.95975497505829,1.74742269746453,1
Branch1,ComplexDFT,ComplexHarmonicLS,IncrementalPhaseSubset,4,4,2,L2-L4,-0.432973798578745,1.9718258394595,1.55850991246641,1.2005012175808,0.196072275475266,2.70464465496146,2.11440586566648,1
Branch1,ComplexDFT,ComplexHarmonicLS,IncrementalPhaseSubset,4,4,2,L3-L4,-0.256723707537822,2.48817461557589,1.78005023710765,0.711708501180954,0.0100779790608133,18.5735581629026,2.50298371132323,1
Branch1,ComplexDFT,ComplexHarmonicLS,IncrementalPhaseSubset,4,4,3,L1-L2-L3,-0.0410243385440722,1.73954735747164,1.48201760689258,1.35119528659875,0.224155125508525,8.87227535737745,1.72487129568419,1
Branch1,ComplexDFT,ComplexHarmonicLS,IncrementalPhaseSubset,4,4,3,L1-L2-L4,-0.278510203849078,2.01988635007978,1.42795561445913,1.1081071928661,0.266149077621118,4.60745917684135,2.21057115052367,1
Branch1,ComplexDFT,ComplexHarmonicLS,IncrementalPhaseSubset,4,4,3,L1-L3-L4,-0.263280633775058,2.43425819253926,1.76469811506942,0.754572131935825,0.325358382404219,15.8664599020708,2.44945264497478,1
Branch1,ComplexDFT,ComplexHarmonicLS,IncrementalPhaseSubset,4,4,3,L2-L3-L4,-0.331283919850607,2.07524684635961,1.71163415191092,1.08823803123662,0.233262085430677,6.72888839224399,2.09746883490818,1
Branch1,ComplexDFT,ComplexHarmonicLS,IncrementalPhaseSubset,4,4,4,L1-L2-L3-L4,-0.263658843344493,1.97103583670016,1.5559138881327,1.15096617991546,0.267937919880818,4.41196503281223,1.98073016743065,1
Branch1,ComplexDFT,ComplexHarmonicLS,IncrementalPhaseSubset,5,5,2,L1-L2,0.353248749300755,1.40001749558791,1.43028166932923,1.72791382589903,0.0356752385031864,29.7967335283018,1.81133699414391,1
Branch1,ComplexDFT,ComplexHarmonicLS,IncrementalPhaseSubset,5,5,2,L1-L3,-0.0904868255987653,1.89609244464352,1.52917756383056,1.19768712382463,0.258564629500354,15.671617996698,1.88742221365226,1
Branch1,ComplexDFT,ComplexHarmonicLS,IncrementalPhaseSubset,5,5,2,L1-L4,-0.272018880343022,2.27868192188094,1.49415017183619,0.855725140238046,0.27646445921986,4.73651768645516,2.45644548889651,1
Branch1,ComplexDFT,ComplexHarmonicLS,IncrementalPhaseSubset,5,5,2,L2-L3,-0.153783995909799,1.75400835413604,1.58620699196584,1.3475736865493,0.176205421412384,5.97682271482187,1.7549699318674,1
Branch1,ComplexDFT,ComplexHarmonicLS,IncrementalPhaseSubset,5,5,2,L2-L4,-0.433458205526432,1.97580159472532,1.56726198725839,1.19743403876155,0.187284795096833,2.70780171779413,2.11820634631771,1
Branch1,ComplexDFT,ComplexHarmonicLS,IncrementalPhaseSubset,5,5,2,L3-L4,-0.256723707537822,2.48817461557589,1.78005023710765,0.711708501180954,0.0100779790608133,18.5735581629026,2.50298371132323,1
Branch1,ComplexDFT,ComplexHarmonicLS,IncrementalPhaseSubset,5,5,3,L1-L2-L3,-0.0396017822770524,1.74115939703699,1.48439414653688,1.3495120659051,0.222327119842923,8.97143307089116,1.72642279722799,1
Branch1,ComplexDFT,ComplexHarmonicLS,IncrementalPhaseSubset,5,5,3,L1-L2-L4,-0.288746457997367,1.99671156099819,1.43537437218296,1.13262111918849,0.264747683393795,4.78605629119991,2.18550218189961,1
Branch1,ComplexDFT,ComplexHarmonicLS,IncrementalPhaseSubset,5,5,3,L1-L3-L4,-0.263280633775058,2.43425819253926,1.76469811506942,0.754572131935825,0.325358382404219,15.8664599020708,2.44945264497478,1
Branch1,ComplexDFT,ComplexHarmonicLS,IncrementalPhaseSubset,5,5,3,L2-L3-L4,-0.330760755590565,2.06758923707914,1.70975992022383,1.09486331096971,0.222676732893756,6.4316144811435,2.08972912563405,1
Branch1,ComplexDFT,ComplexHarmonicLS,IncrementalPhaseSubset,5,5,4,L1-L2-L3-L4,-0.265319029150116,1.96853804427144,1.55840867651552,1.15389890322678,0.265314884343079,4.37439434470737,1.97851750107118,1
Branch1,ComplexDFT,ComplexHarmonicLS,IncrementalPhaseSubset,6,6,2,L1-L2,0.354834135277808,1.3978846929901,1.42831771220356,1.73040452673914,0.0379744138569498,29.7644679569504,1.80894913068814,1
Branch1,ComplexDFT,ComplexHarmonicLS,IncrementalPhaseSubset,6,6,2,L1-L3,-0.0846220876882139,1.87852434919135,1.52959987177512,1.21478817191972,0.26344223125484,15.5389728827665,1.86878062387096,1
Branch1,ComplexDFT,ComplexHarmonicLS,IncrementalPhaseSubset,6,6,2,L1-L4,-0.271496093095993,2.27218320475945,1.49405713810965,0.861724873002603,0.282967821571801,4.7251271432671,2.44988344954321,1
Branch1,ComplexDFT,ComplexHarmonicLS,IncrementalPhaseSubset,6,6,2,L2-L3,-0.152899838022174,1.75227533905562,1.58843914982634,1.34933580408583,0.178374891283667,5.97182594593492,1.75281038015447,1
Branch1,ComplexDFT,ComplexHarmonicLS,IncrementalPhaseSubset,6,6,2,L2-L4,-0.433316520966467,1.97491155111544,1.56992897009818,1.1983636831268,0.189916926185123,2.70681901101702,2.11704073524883,1
Branch1,ComplexDFT,ComplexHarmonicLS,IncrementalPhaseSubset,6,6,2,L3-L4,-0.256720006313231,2.4879612507925,1.78651260604673,0.714454540619968,0.00987507758928436,18.573767458728,2.50301288711324,1
Branch1,ComplexDFT,ComplexHarmonicLS,IncrementalPhaseSubset,6,6,3,L1-L2-L3,-0.0368688500374175,1.73611666594719,1.48414975212006,1.35447798973881,0.225543521169725,8.94371465648754,1.72042601630822,1
Branch1,ComplexDFT,ComplexHarmonicLS,IncrementalPhaseSubset,6,6,3,L1-L2-L4,-0.286669134867739,1.997257888998,1.4349849526959,1.13158803034447,0.268298954041302,4.74738685014646,2.18593839314293,1
Branch1,ComplexDFT,ComplexHarmonicLS,IncrementalPhaseSubset,6,6,3,L1-L3-L4,-0.263160225861903,2.43491060799991,1.77153950621958,0.75639217303242,0.33360505051195,15.9896261294745,2.45031361463245,1
Branch1,ComplexDFT,ComplexHarmonicLS,IncrementalPhaseSubset,6,6,3,L2-L3-L4,-0.330516205478793,2.06920664572093,1.71554734430226,1.0944042634512,0.225623235231054,6.50779987282346,2.09139231137731,1
Branch1,ComplexDFT,ComplexHarmonicLS,IncrementalPhaseSubset,6,6,4,L1-L2-L3-L4,-0.263701964185844,1.96231415084701,1.5569062572657,1.15950524897965,0.269155601025042,4.36202061504197,1.97156920564162,1
Branch1,ComplexDFT,ComplexHarmonicLS,IncrementalPhaseSubset,7,7,2,L1-L2,0.355501710307015,1.39809062284141,1.43391550016971,1.73011732771688,0.038901872923911,29.7508815296889,1.80794363652721,1
Branch1,ComplexDFT,ComplexHarmonicLS,IncrementalPhaseSubset,7,7,2,L1-L3,-0.0878636281591003,1.88844447100859,1.53202628632037,1.20518935832448,0.260721840800912,15.6113989680393,1.87907486630504,1
Branch1,ComplexDFT,ComplexHarmonicLS,IncrementalPhaseSubset,7,7,2,L1-L4,-0.271780316985845,2.27594801354968,1.49740887301191,0.858226014103336,0.279450390747981,4.73118824808886,2.4534046456468,1
Branch1,ComplexDFT,ComplexHarmonicLS,IncrementalPhaseSubset,7,7,2,L2-L3,-0.15442477751316,1.75567751874825,1.59234237425759,1.34639912729002,0.174490807788203,5.98020456712307,1.75651374364423,1
Branch1,ComplexDFT,ComplexHarmonicLS,IncrementalPhaseSubset,7,7,2,L2-L4,-0.433553798124292,1.97684488618216,1.57431235448927,1.19691500505113,0.185523005860568,2.70836635931172,2.11890284205105,1
Branch1,ComplexDFT,ComplexHarmonicLS,IncrementalPhaseSubset,7,7,2,L3-L4,-0.256720006313231,2.4879612507925,1.78651260604673,0.714454540619968,0.00987507758928436,18.573767458728,2.50301288711324,1
Branch1,ComplexDFT,ComplexHarmonicLS,IncrementalPhaseSubset,7,7,3,L1-L2-L3,-0.0372833018617724,1.73928026481422,1.48710283586479,1.35129574278202,0.22323312021387,9.01039796159455,1.72373806631966,1
Branch1,ComplexDFT,ComplexHarmonicLS,IncrementalPhaseSubset,7,7,3,L1-L2-L4,-0.291227798012196,1.98941711555088,1.44032829525546,1.14002501210478,0.266294507834316,4.89932816514078,2.17716416364123,1
Branch1,ComplexDFT,ComplexHarmonicLS,IncrementalPhaseSubset,7,7,3,L1-L3-L4,-0.263170155526587,2.43495786339817,1.771424736089,0.756313505660686,0.329224232463261,15.9482275975298,2.45035671827372,1
Branch1,ComplexDFT,ComplexHarmonicLS,IncrementalPhaseSubset,7,7,3,L2-L3-L4,-0.331138795755625,2.06706075439233,1.71515555778312,1.09651699316693,0.220752242831486,6.39570319752617,2.0893068361848,1
Branch1,ComplexDFT,ComplexHarmonicLS,IncrementalPhaseSubset,7,7,4,L1-L2-L3-L4,-0.265115527581999,1.96492498281417,1.56142448770465,1.15752019634673,0.266210970862019,4.35810114303313,1.9745008299348,1
Branch1,ComplexDFT,ComplexDFT,CanonicalEightUniquePhases,8,8,2,L1-L2,0.36843317984293,1.37591846310019,1.43377759180682,1.75448110006831,0.0344602387747528,29.1482382113098,1.78266528170875,1
Branch1,ComplexDFT,ComplexDFT,CanonicalEightUniquePhases,8,8,2,L1-L3,-0.0878636281591003,1.88844447100859,1.53202628632037,1.20518935832448,0.260721840800912,15.6113989680393,1.87907486630504,1
Branch1,ComplexDFT,ComplexDFT,CanonicalEightUniquePhases,8,8,2,L1-L4,-0.271780316985845,2.27594801354968,1.49740887301191,0.858226014103336,0.279450390747981,4.73118824808886,2.4534046456468,1
Branch1,ComplexDFT,ComplexDFT,CanonicalEightUniquePhases,8,8,2,L2-L3,-0.151373992034363,1.73480913899332,1.58856647199978,1.36649199601862,0.177470718203803,5.9164063226005,1.7353010513977,1
Branch1,ComplexDFT,ComplexDFT,CanonicalEightUniquePhases,8,8,2,L2-L4,-0.438914673185026,1.96054762840221,1.5698492001465,1.21374942257704,0.18948877902684,2.69195208776441,2.10163027238171,1
Branch1,ComplexDFT,ComplexDFT,CanonicalEightUniquePhases,8,8,2,L3-L4,-0.256720006313231,2.4879612507925,1.78651260604673,0.714454540619968,0.00987507758928436,18.573767458728,2.50301288711324,1
Branch1,ComplexDFT,ComplexDFT,CanonicalEightUniquePhases,8,8,3,L1-L2-L3,-0.0334172857636893,1.72305981525619,1.48642531950797,1.3674159775305,0.224738571221656,8.89573472945418,1.70719272208873,1
Branch1,ComplexDFT,ComplexDFT,CanonicalEightUniquePhases,8,8,3,L1-L2-L4,-0.290729992664495,1.97745878400864,1.43704071109388,1.15162309718666,0.269824740626963,4.83511616774645,2.16607400407585,1
Branch1,ComplexDFT,ComplexDFT,CanonicalEightUniquePhases,8,8,3,L1-L3-L4,-0.263170155526587,2.43495786339817,1.771424736089,0.756313505660686,0.329224232463261,15.9482275975298,2.45035671827372,1
Branch1,ComplexDFT,ComplexDFT,CanonicalEightUniquePhases,8,8,3,L2-L3-L4,-0.334556720276225,2.05370043910147,1.71347055500701,1.10969124393025,0.225784458015931,6.36118187541928,2.07630774972509,1
Branch1,ComplexDFT,ComplexDFT,CanonicalEightUniquePhases,8,8,4,L1-L2-L3-L4,-0.264924405130164,1.95479998646949,1.56290899917291,1.16739948318053,0.26927791326917,4.36183776234942,1.96448186034102,1
Branch1,ComplexDFT,ComplexHarmonicLS,EightUniquePhasesPlusClosureRepeat,9,8,2,L1-L2,0.370576253257993,1.37411578715181,1.43735701031344,1.75656185075768,0.0376550418496979,29.1051046711048,1.77944252467224,1
Branch1,ComplexDFT,ComplexHarmonicLS,EightUniquePhasesPlusClosureRepeat,9,8,2,L1-L3,-0.0878636281591003,1.88844447100859,1.53202628632037,1.20518935832448,0.260721840800912,15.6113989680393,1.87907486630504,1
Branch1,ComplexDFT,ComplexHarmonicLS,EightUniquePhasesPlusClosureRepeat,9,8,2,L1-L4,-0.271780316985845,2.27594801354968,1.49740887301191,0.858226014103336,0.279450390747981,4.73118824808886,2.4534046456468,1
Branch1,ComplexDFT,ComplexHarmonicLS,EightUniquePhasesPlusClosureRepeat,9,8,2,L2-L3,-0.152885539331946,1.73817800820547,1.59245634690882,1.36357796319824,0.173600318588313,5.92466709370761,1.73896937005526,1
Branch1,ComplexDFT,ComplexHarmonicLS,EightUniquePhasesPlusClosureRepeat,9,8,2,L2-L4,-0.439150059203683,1.96247701250214,1.57422810433061,1.21229974565171,0.185099650016233,2.69348967139577,2.10348922203461,1
